Word,Pinyin,Meaning,Type,Level,Topic
把,bǎ,indicating pre-verbal object as thing dealt with by the action,-,-,Animals
啊,ā,"ah, an exclamation",-,-,People
愛,ài,to love,-,-,Emotions
安靜,ānjìng,"to be quiet, calm, peaceful",-,-,Emotions
吧,ba,"question particle, implying probability/ sentence suffix, indicating a request",-,-,Animals
八,bā,eight,-,-,People
爸爸,bàba,father,-,-,People
百,bǎi,hundred,-,-,Other
百貨公司,bǎihuògōngsī,department store,-,-,People
白色,báisè,white 班 (Measurement) bān : measure word for a group of organized people 班 (Noun) bān : class,-,-,People
搬,bān,to move,-,-,Other
半,bàn,half,-,-,Other
幫,bāng,"to help, to assist",-,-,People
辦公室,bàngōngshì,office,-,-,Places
棒球,bàngqiú,baseball,-,-,Other
包子,bāozi,steamed stuffed bun,-,-,Food
報紙,bàozhǐ,newspaper,N,A1,Other
杯,bēi,a cup of,M,A1,Other
被,bèi,a passive voice indicator   北(邊) běi (biān) : north,"Prep, N",A1,Animals
杯子,bēizi,"cup, glass",N,A1,Other
本,běn,"individual measure word for books or magazines, etc.",M,A1,People
本子,běnzi,"book, notebook, edition",N,A1,People
比,bǐ,"to compare; compared to, than",Prep,A1,Other
筆,bǐ,pen,N,A1,Other
別的,biéde,"some other, an additional or a different one",Det,A1,People
比較,bǐjiào,"comparatively;   比賽 (Noun) bǐsài : competition, contest, match   比賽  bǐsài : to compete in a game/ activity/ match","Adv, N, VA, VA",A1,People
不客氣,búkèqì,you're welcome,-,A1,People
不,bù,don't,Adv,A1,Other
不好意思,bùhǎoyìsī,to feel embarrassed; to be ill at ease,-,A1,Actions
才,cái,indicate that an action happened later than expacted,Adv,A1,Animals
菜,cài,"food, cuisine",N,A1,Food
參加,cānjiā,"to attend, to participate, to take part in   餐廳/飯館兒 cāntīng/ fànguǎnér : restaurant","VA, N",A1,Places
茶,chá,tea,N,A1,Food
長,cháng,"to be long, not short",VS,A1,Actions
常常,chángcháng,"often, usually, generally   唱歌(兒) chànggē(ér) : sing","Adv, VA",A1,People
吵,chǎo,"to make a noise, to disturb, to quarrel/ to be noisy   車(子) chē(zi) : car, vehicle","VS, N",A1,Actions
車站,chēzhàn,station,N,A1,Travel
成績,chéngjī,"grade(at school), academic record, achievement",N,A1,Places
吃,chī,to eat,VA,A1,Food
吃飽,chībǎo,satiate; full,VS,A1,People
吃飯,chīfàn,"to eat, to have a meal",VA,A1,Food
穿,chuān,"to wear, to put on   船(兒) chuán(ér) : ship, boat","VA, N",A1,People
窗,chuāng,window,N,A1,People
床,chuáng,bed,N,A1,Other
廚房,chúfáng,kitchen,N,A1,People
出國,chūguó,go abroad(from one's own country),VA,A1,Numbers
出來,chūlái,to come out,VA,A1,People
出去,chūqù,"to go out, to leave",VA,A1,Actions
春天,chūntiān,"spring, springtime",N,A1,People
次,cì,measure word for the number of repetitions in a given period of time,M,A1,People
從,cóng,from,Prep,A1,Other
錯,cuò,to be wrong,VS,A1,Actions
打,dǎ,"to hit, to beat, to strike",VA,A1,Food
打電話,dǎdiànhuà,make a telephone call,VA,A1,Technology
打開,dǎkāi,to open up,VA,A1,Other
大,dà,"to be big, to be large",VS,A1,Actions
大家,dàjiā,everyone,N,A1,Numbers
大樓,dàlóu,multi-storied building,N,A1,People
蛋糕,dàngāo,cake,N,A1,Other
當然,dāngrán,"certainly, of course",Adv,A1,People
到,dào,"(1)to reach, to arrive; (2)up to",VA,A1,People
大學,dàxué,university,N,A1,People
的,de,possessive or modifying particle,P,A1,People
得,dé,a particle used between a verb or adjective and its complement to indicate manner or degree,P,A1,Animals
等,děng,to wait,VA,A1,People
第,dì,a prefix for ordinal numbers   點(鐘) diǎn(zhōng) : o'clock,"Det, M",A1,People
電話,diànhuà,"telephone, call",N,A1,Technology
電腦,diànnǎo,computer   電視(機) diànshì(jī) : television set,"N, N",A1,Technology
電影,diànyǐng,movie,N,A1,People
電影院,diànyǐngyuàn,"cinema, movie(house)",N,A1,People
弟弟,dìdì,younger brother,N,A1,People
地方,dìfāng,"location, place",N,A1,Animals
地上,dìshàng,"onthe ground, floor",N,A1,People
地圖,dìtú,map   東(邊) dōng(biān) : east,"N, N",A1,People
冬天,dōngtiān,"winter, wintertime",N,A1,People
東西,dōngxī,thing,N,A1,People
懂,dǒng,to understand,VS,A1,Conjunctions
都,dōu,"all, both",Adv,A1,Other
對,duì,"to be correct, right",VS,A1,Actions
對不起,duìbùqǐ,I'm sorry; excuse me,-,A1,People
對面,duìmiàn,"the other side, place across from   多 (Adverb) duō : more than required   多 (Verb subject) duō : many, much, more","N, Adv, VS",A1,People
多少,duōshǎo,"how much, how many",Adv,A1,People
肚子,dùzǐ,"stomach, belly, abdomen",N,A1,People
餓,è,to be hungry,VS,A1,Actions
二,èr,two,Det,A1,Numbers
兒子,érzi,son,N,A1,Conjunctions
飯,fàn,"food, meal, rice",N,A1,Food
放,fàng,to put,VA,A1,Other
方便,fāngbiàn,to be convenient,VS,A1,Actions
房間,fángjiān,room,N,A1,Other
房子,fángzi,house,N,A1,Other
非常,fēicháng,"very, extremely",Adv,A1,People
飛機,fēijī,airplane   (飛)機場 (fēi)jīchǎng : airport   分(鐘) fēn(zhōng) : minute,"N, N, M",A1,Travel
封,fēng,"measure word for letters, telegrams, etc.",M,A1,People
風,fēng,wind,N,A1,People
風景,fēngjǐng,"scenery, landscape",N,A1,Conjunctions
附近,fùjìn,nearby,N,A1,Other
乾淨,gānjìng,to be clean,VS,A1,Actions
感冒,gǎnmào,"to have a cold; cold, flu",VS,A1,Actions
高,gāo,"to be tall, to be high",VS,A1,Actions
高興,gāoxìng,to be happy,VS,A1,Emotions
告訴,gàosù,"to tell, to inform",VA,A1,People
個,gè,individual measure word for persons and material things,M,A1,People
哥哥,gēgē,elder brother   給  gěi : to give   跟 (Conj.) gēn : and,"N, VA, VA, Conj",A1,People
更,gèng,"even more, still more   公共汽車(公車) gōnggòngqìchē(gōngchē) : bus","Adv, N",A1,Travel
功課,gōngkè,"schoolwork, homework",N,A1,Places
公司,gōngsī,company,N,A1,Other
